Optimizer,beta_1,beta_2,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
ADAM_Dropout,0.6,0.999,0.5369,0.4286,0.3989,0.3768,0.3675,0.3543,0.3503,0.3404,0.3311,0.3310,0.3268,0.3227,0.3180,0.3133,0.3104,0.3078,0.3053,0.3053,0.3011,0.2970
ADAM,0.6,0.999,0.4707,0.3590,0.3185,0.2945,0.2763,0.2594,0.2484,0.2356,0.2265,0.2162,0.2058,0.1983,0.1906,0.1881,0.1767,0.1746,0.1681,0.1615,0.1567,0.1548
ADAM_Dropout,0.7,0.999,0.5330,0.4290,0.3954,0.3771,0.3656,0.3547,0.3471,0.3447,0.3343,0.3280,0.3233,0.3217,0.3198,0.3129,0.3110,0.3101,0.3071,0.3046,0.3037,0.2997
ADAM,0.7,0.999,0.4707,0.3541,0.3176,0.2946,0.2753,0.2594,0.2478,0.2377,0.2256,0.2157,0.2079,0.1996,0.1934,0.1861,0.1788,0.1778,0.1666,0.1661,0.1568,0.1526
ADAM_Dropout,0.8,0.999,0.5305,0.4268,0.3968,0.3776,0.3662,0.3583,0.3486,0.3401,0.3335,0.3264,0.3252,0.3232,0.3163,0.3125,0.3090,0.3123,0.3116,0.3056,0.3020,0.2991
ADAM,0.8,0.999,0.4676,0.3548,0.3200,0.2945,0.2765,0.2627,0.2512,0.2389,0.2280,0.2216,0.2092,0.2022,0.1930,0.1864,0.1808,0.1771,0.1696,0.1652,0.1561,0.1558
ADAM_Dropout,0.9,0.999,0.5295,0.4300,0.4017,0.3816,0.3675,0.3560,0.3471,0.3447,0.3379,0.3302,0.3292,0.3218,0.3222,0.3159,0.3151,0.3139,0.3091,0.3072,0.3061,0.3004
ADAM,0.9,0.999,0.4668,0.3564,0.3225,0.2966,0.2782,0.2644,0.2504,0.2385,0.2308,0.2212,0.2123,0.2036,0.1967,0.1912,0.1847,0.1748,0.1731,0.1666,0.1598,0.1538
