SGDNesterov,0.9067,1.3607,1.0378,0.8632,0.8786,0.8798,0.6855,0.6307,0.8732,0.5158,0.4345,0.4942,0.8873,0.6521,0.6079,0.4498,0.539,0.647,0.4005,0.4377
Adagrad,2.3968,2.534,2.4367,2.3738,2.3383,2.2815,2.4239,2.2732,2.4704,2.3921,2.2625,2.3095,2.2437,2.2972,2.3327,2.3531,2.4332,2.3992,2.2548,2.4087
RMSProp,0.6875,1.3604,1.0757,0.9269,1.1143,1.0637,0.822,0.7608,1.0792,0.6779,0.651,0.7537,1.1873,0.922,0.8286,0.6958,0.7881,0.8125,0.6343,0.6845
AdaDelta,2.761,2.7923,2.9536,2.6892,2.7447,2.8313,2.9902,2.7356,2.5573,2.8984,2.9996,2.7304,2.8153,3.0601,2.9378,2.7033,2.7399,2.9099,2.897,2.7154
Adam,0.5167,1.1453,0.8369,0.6429,0.7038,0.8195,0.5665,0.5438,0.7227,0.4483,0.3903,0.422,0.8112,0.635,0.6367,0.417,0.5601,0.6361,0.4964,0.4292
