Optimizer,beta_1,beta_2,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
ADAM_Dropout,0.9,0.699,0.6218,0.5835,0.6556,0.6323,0.6255,0.6328,0.6805,0.6958,0.6988,0.6839,0.6718,0.6955,0.6941,0.7039,0.6866,0.6930,0.7145,0.7233,0.7118,0.7241
ADAM,0.9,0.699,0.4881,0.3990,0.3873,0.3738,0.3677,0.3672,0.3732,0.3678,0.3668,0.3601,0.3625,0.3590,0.3555,0.3508,0.3646,0.3504,0.3510,0.3495,0.3533,0.3489
ADAM_Dropout,0.9,0.799,0.5523,0.5043,0.5180,0.5138,0.5183,0.5308,0.5399,0.5383,0.5591,0.5603,0.5609,0.5782,0.5850,0.5902,0.5920,0.6131,0.6277,0.6288,0.6355,0.6533
ADAM,0.9,0.799,0.4730,0.3876,0.3608,0.3491,0.3407,0.3329,0.3334,0.3285,0.3223,0.3247,0.3222,0.3167,0.3137,0.3103,0.3089,0.3100,0.3092,0.3035,0.3091,0.3104
ADAM_Dropout,0.9,0.899,0.5520,0.4837,0.4827,0.4808,0.4874,0.4979,0.4934,0.5088,0.5176,0.5239,0.5330,0.5351,0.5391,0.5441,0.5498,0.5727,0.5745,0.5807,0.6062,0.6062
ADAM,0.9,0.899,0.4744,0.3872,0.3644,0.3486,0.3378,0.3290,0.3235,0.3157,0.3135,0.3063,0.3059,0.3015,0.2927,0.2941,0.2888,0.2834,0.2855,0.2847,0.2816,0.2774
ADAM_Dropout,0.9,0.999,0.5334,0.4255,0.3988,0.3790,0.3656,0.3531,0.3468,0.3431,0.3356,0.3278,0.3279,0.3197,0.3216,0.3142,0.3132,0.3113,0.3059,0.3049,0.3038,0.3022
ADAM,0.9,0.999,0.4662,0.3572,0.3186,0.2970,0.2804,0.2635,0.2485,0.2380,0.2277,0.2188,0.2092,0.2018,0.1944,0.1880,0.1789,0.1766,0.1697,0.1624,0.1594,0.1507
